Keyword;Bed 1
dainty;"delectable [a]: choice; delicious; tasty; juicy; luscious; palatable; savoury"
dale;"vale [n]: valley; hollow"
dally;"loiter [v]: philander; linger; dawdle; idle; delay"
dam;"animal's mother [n]: bitch; progenitor; female parent; cow"
damage;"event [n]: loss; detriment; wreckage; disadvantage; waste; impairment; spoil; breakage"
damaged;"shop-worn [a]: faded; used"
damn;"speech [v]: swear at; revile; excoriate; imprecate; curse; abuse"
damnable;"outrageous [a]: offensive; wicked; detestable; execrate; depraved"
damnation;"condemnation [n]: damning; ban; anathema; excommunication; proscription"
damned;"swear word [a]: blasted; bloody"
damning;"incriminating [a]: serious; ruinous"
dwarf;"midget [n]: gnome; homunculus; lilliputian; manikin; pygmy"
dwarfish;"little [a]: small; tiny; diminutive; stunted; minute; misshapen"
dwell;continue [v]: perpetuate
dye;"impregnate with colour [v]: colour; tint; stain; bleach; whiten"
dying;"failing [a]: sickening; expiring"
dynamite;"impressive person [n]: power-house; knockout"
dynamo;"hustler [n]: go-getter; live wire; power-house; self-starter"
dysentery;disease [n]: diarrhea
dressing;sauce [n]: relish
drift;"trend [n]: bent; tenor; effort; impulse; tendency"
drill;"thing [n]: boring tool; bore; gimlet"
drink;"activity [v]: swallow; consume; imbibe; gulp; sup; quaff; suck; toss"
drinker;"unreformed alcoholic [n]: alcoholic; drunkard; drunk; lush; boozer; tippler"
drive;"transport [n]: ride; spin; trip; outing; tour"
driver;"person [n]: motorist; cab driver; bus driver; licensed operator; operator"
driveway;"drive [n]: avenue; entrance; approach"
droll;"comedian [n]: buffoon; clown; jester; punch; wag; zany"
drool;"want badly [v]: want; desire; covet"
drop;"reduction [n]: fall; tumble; decrease; slide"
dropped;"discontinued [a]: abandoned; forsaken; released; expelled; diminished"
dross;"trash [n]: garbage; rubbish; debris; waste"
drown;"action [v]: immerse; dip; submerge; plunge; sink; baptise; baptize"
drown out;"overwhelm [v]: muffle; silence; overpower; hush"
drowse off;"fall asleep [v]: sleep; nap; snooze"
drowsy;"indolent [a]: lazy; languid; lethargic; sluggish"
drudge;hard [n]: menial
drug;"thing [n]: narcotic; opiate; sedative; potion; essence; anodyne"
drum;"thing [n]: barrel; tub; cylinder"
drum up;"generate business [v]: attract; provide; discover; find"
drunk;"person [n]: drunkard; alcoholic; heavy drinker; dipsomaniac; boozer; sponge"
dry;property [a]: evaporated
dryad;"tree nymph [n]: fairy; nymph; sprite; goddess; pixie"
dab;"pat [v]: tap; daub; smear; blot; peck"
dabbler;"amateur [n]: dilettante; novice; beginner; loafer"
decency;"goodness [n]: honesty; rectitude; rightness; integrity; morality; probity; righteousness"
decently;"morally [o]: honourably; justly; properly; scrupulously; conscientiously"
dim;"indefinite [a]: blurred; confused; indistinct; unclear; vague; umbrageous"
diminutive;"little [a]: petty; bantam; lilliputian; microscopic"
dining room;"place to eat [n]: diner; café"
dinner;"cooking [n]: meal; supper; repast; feast; banquet; refection"
dip;"swim [n]: plunge; bath; dive"
diplomacy;"tact [n]: discretion; artfulness; finesse; skill; poise"
diplomat;"shrewd person [n]: orator; public speaker"
diplomatic;"tactful [a]: artful; suave; politic; gracious; calculating; smooth; capable"
dipsomaniac;"alcoholic [n]: drunkard; drunk; boozer; sot; addict"
direct;"characteristic [a]: immediate; evident; prompt; personal; simple; unbroken"
distract;"confuse [v]: bewilder; befuddle; perplex; confound; puzzle"
distracted;"distraught [a]: troubled; frenzied"
distraction;"diversion [n]: pastime; entertainment; preoccupation; engrossment; game"
distraught;"troubled [a]: distracted; confused; distrait; distressed; harassed; tormented; worried"
demoralised;"discouraged [a]: depressed; broken; disheartened; sad"
demoralize;"unnerve [v]: weaken; break; discourage; daunt; enfeeble; dishearten; unman"
demoralized;"discouraged [a]: depressed; broken; disheartened; sad"
dowager;"widow [n]: matron; dame; lady; woman; matriarch"
dowdy;"shabby [a]: tasteless; unfashionable"
down;"feeling [n]: dispirited; blue; dejected; depressed; discouraged; disheartened"
down and out;"beaten [a]: ruined; finished; defeated; degraded; abject; base"
downfall;"rain [n]: cloud-burst; deluge; torrent; shower; precipitation; flood"
downgrade;"hillside [n]: slope; descent; decline; gradient; inclination; incline"
down on;"unhappy with [a]: against; opposed to; disillusioned"
downright;"completely [a]: absolutely; entirely; utterly"
down-to-earth;"practical [a]: sensible; mundane; practicable; rational; common; ordinary"
dowry;"bridal gift [n]: dot; dower"
doze;"nap [n]: drowse; slumber"
drab;"colour [a]: brownish yellow; brownish"
draft;"thing [n]: air valve; damper; check; flap; control"
drag;"burden [n]: hindrance; encumbrance; impediment"
dragon;"fire-breathing monster [n]: monster; serpent; snake"
drain;"draw [v]: draft; milk; divert; bleed; pump; remove"
drama;"entertainment [n]: show; boards; play; footlights; stage; theatre"
dramatic;"thespian [a]: theatrical; melodramatic; eloquent; histrionic"
dramatise;"exaggerate [v]: overstate; caricature; magnify; amplify"
dramatize;"exaggerate [v]: overstate; caricature; magnify; amplify"
drape;"clothe loosely [v]: dress; cover; clothe; don; enclose; hang; veil"
draught;"current of air [n]: breeze; puff; gust; wind; seepage; blowing"
draw;"activity [v]: pull; hale; drag; puff; purchase; haul; trail; lead"
drawing;"sketch [n]: likeness; representation; picture; depiction; work of art; doodle"
drawing room;"reception room [n]: living room; sitting room; parlour; salon"
dread;"fear [n]: horror; apprehension; awe; phobia; terror"
dream;"mental condition [n]: self-deception; illusion; fantasy; error; mirage; imagination; vision"
dreamer;"idealist [n]: utopian; visionary"
detract;"depreciate [v]: decrease; divert; lower; lessen; slander; discredit"
detractor;"derogator [n]: critic; censor"
develop;"grow [v]: acquire; mature; form; evolve; advance; ripen"
development;"growth [n]: developing; disclosure; unfolding; maturation; enlargement; maturing; opening"
deviate;turn aside [v]: avert
deviation;"departure [n]: aberration; change; alteration; divergence; diversion"
device;"project [n]: plan; way; design; expedient; scheme"
disclosure;"confession [n]: admission; acknowledgment; exposé; declaration; telling; revelation"
discomfit;"embarrass [v]: confuse; abash; confound; disconcert; perplex"
discomfiture;"embarrassment [n]: humiliation; chagrin; unease; confusion"
discomfort;"annoy [v]: trouble; inconvenience; disturb; burden; molest"
disconnected;"separated [a]: detached; loose"
disconnection;"separation [n]: division; parting; interruption; cessation; cleavage; disruption; intrusion"
disconsolate;"gloomy [a]: cheerless; dreary; dark; dismal"
discontent;"displeasure [n]: depression; envy; dissatisfaction; restlessness; uneasiness"
discontented;"unhappy [a]: discontent; displeased; dissatisfied; malcontent"
discontinue;"pause [v]: interrupt; break; suspend"
discourage;"obstruct [v]: dull; deter; forbid; dissuade; inhibit; hinder; prevent"
disquiet;"perturb [v]: disturb; agitate; fluster; trouble; alarm; confuse; upset"
disregarding;"except [o]: aside from; excepting; save; let alone; excluding; without; but"
disreputable;"base [a]: dishonourable; disgraceful; infamous; notorious; scandalous; shameful"
disrepute;"stigma [n]: slur; blot; baseness; humiliation; contempt; disapprobation; reproach"
disrespect;"disregard [n]: disdain; scorn; indifference; slight"
disrespectful;"familiar [a]: presuming; presumptive; unreserved"
disrobe;"remove [v]: undress; strip; uncover; unclothe; decorticate; displace; peel"
disrupt;"interrupt [v]: abbreviate; curtail; break; stop; suspend; end"
dissatisfaction;"aversion [n]: dislike; antagonism; disfavour; antipathy; disinclination; disgust; disrelish"
dissatisfied;"weary [a]: impatient; unhappy"
disseminate;"broadcast [v]: distribute; spread; scatter; boast; brag"
dissension;"discord [n]: ill will; strife; opposition; disagreement; contention; conflict; animosity"
dissertation;"address [n]: lecture; recitation; speech; oration; discourse; sermon; harangue"
disservice;"harm [n]: wound; injury; damage; bruise; ill-treatment; hurt; persecution"
dissidence;"disunion [n]: dissension; discord; disagreement; alienation"
dissident;"pacifist [n]: conscientious objector; peacemaker; dove"
dissimilar;"miscellaneous [a]: odd; divers; disparate; manifold; different; distant; various"
dissimilarity;"difference [n]: comparison; disparity; opposition; divergence; contrast; disagreement"
dissimulation;"fraud [n]: cheating; cunning; concealment; deceit; craftiness; deceiving; deception"
dissociation;"separateness [n]: detachment; separation; distinctness; dissimilarity; division; isolation"
dissolute;"corrupt [a]: amoral; depraved; abandoned; immoral; incorrigible"
dissonance;"cacophony [n]: discord; chaos; disharmony; noise; harshness"
dissuade;"warn [v]: disincline; discourage; alarm"
distaste;"loathing [n]: gorge; sickness; abhorrence; surfeit; disrelish; disgust; hatred"
distil;"extract [v]: press out; derive; withdraw"
distinctive;"particular [a]: characteristic; especial; exceptional"
distinguishing;"typical [a]: representative; specific; characteristic; distinctive; idiosyncratic; particular; illustrative"
distorted;"deformed [a]: crooked; askew; contorted; awry; gnarled; disfigured"
distressed;"afraid [a]: frightened; fearful; aroused; worried; disturbed; alarmed; unsettled"
distressing;"crucial [a]: brisk; climacteric; fine; acute; incisive; fierce; pungent"
distrustful;"careful [a]: cautious; reluctant; suspicious; wary; cagey; heedful; shy"
depreciate;"belittle [v]: decry; disparage; discredit; ridicule; denounce; denigrate; traduce"
depress;"deject [v]: grieve; chill; weary; press; dampen; weigh down; discourage"
depressed;"undervalued [a]: unemployed; impoverished"
depression;"recession [n]: decline; slump; unemployment; stagnation"
